Designator,Mid X,Mid Y,Layer,Rotation
C101,87.913mm,41.341001000000006mm,Bottom,270.0
R102,88.163mm,12.591000999999999mm,Bottom,90.0
R101,77.56299999999999mm,43.390901mm,Bottom,180.0
D102,86.6062mm,13.991601000000003mm,Top,0.0
Y102,74.363mm,35.490901mm,Bottom,0.0
R122,69.263mm,18.991001000000004mm,Bottom,0.0
R123,69.263mm,19.990901mm,Bottom,0.0
R127,87.43799999999999mm,33.416001mm,Bottom,180.0
R128,66.788mm,30.615901mm,Bottom,180.0
D106,80.263mm,43.341001000000006mm,Top,90.0
D105,78.463mm,43.341001000000006mm,Top,90.0
D107,83.163mm,41.541001mm,Bottom,90.0
D104,76.663mm,43.341001000000006mm,Top,90.0
D103,74.863mm,43.341001000000006mm,Top,90.0
C140,83.663mm,38.290901000000005mm,Bottom,180.0
C132,77.963mm,35.790901000000005mm,Bottom,90.0
C136,70.763mm,35.591001000000006mm,Bottom,90.0
C127,71.163mm,38.140901mm,Bottom,90.0
C138,87.81299999999999mm,46.516001mm,Bottom,180.0
C130,65.41329999999999mm,36.787801mm,Bottom,270.0
C131,66.263mm,19.591001mm,Bottom,0.0
C122,87.463mm,24.491001mm,Bottom,90.0
C114,84.663mm,17.541001mm,Bottom,90.0
C119,87.763mm,34.991001mm,Bottom,90.0
C103,86.513mm,53.091001mm,Bottom,0.0
C113,66.963mm,17.391001000000003mm,Bottom,90.0
C102,80.663mm,47.891001mm,Bottom,0.0
U105,76.913mm,27.666001mm,Top,180.0
C771,38.725mm,39.841mm,Top,270.0
C772,43.625mm,39.141mm,Top,180.0
C773,43.625mm,40.488905mm,Top,180.0
D771,40.525mm,42.341mm,Top,180.0
R771,34.125mm,36.141mm,Top,180.0
R772,32.225mm,39.941mm,Top,270.0
R773,35.825mm,38.541000000000004mm,Top,180.0
R774,35.825mm,41.041000000000004mm,Top,180.0
R775,40.025mm,39.841mm,Top,270.0
R776,43.625mm,42.291000000000004mm,Top,180.0
R777,41.525mm,39.841mm,Top,270.0
U771,41.425mm,36.641mm,Top,0.0
C474,41.9736mm,48.349998mm,Bottom,270.0
R470,38.32mm,47.434998mm,Bottom,180.0
U471,43.355mm,48.381997999999996mm,Top,180.0
R474,44.22mm,48.349598mm,Bottom,180.0
R473,42.9604mm,47.884997999999996mm,Bottom,270.0
R472,40.445mm,47.434998mm,Bottom,180.0
C473,44.32mm,49.334998mm,Bottom,180.0
C472,44.32mm,47.484998mm,Bottom,0.0
U470,39.379999999999995mm,48.381997999999996mm,Top,180.0
R471,38.32mm,48.334998mm,Bottom,0.0
C471,38.37mm,49.334998mm,Bottom,0.0
C470,40.495mm,49.334998mm,Bottom,180.0
C474_2,41.876599999999996mm,31.077997999999997mm,Bottom,270.0
R470_2,38.223mm,30.162997999999998mm,Bottom,180.0
U471_2,43.257999999999996mm,31.109997999999997mm,Top,180.0
R474_2,44.123mm,31.077598mm,Bottom,180.0
R473_2,42.8634mm,30.612997999999997mm,Bottom,270.0
R472_2,40.348mm,30.162997999999998mm,Bottom,180.0
C473_2,44.223mm,32.062998mm,Bottom,180.0
C472_2,44.223mm,30.212998mm,Bottom,0.0
U470_2,39.283mm,31.109997999999997mm,Top,180.0
R471_2,38.223mm,31.062998mm,Bottom,0.0
C471_2,38.272999999999996mm,32.062998mm,Bottom,0.0
C470_2,40.397999999999996mm,32.062998mm,Bottom,180.0
